Date,France_LDZ,Belgium_LDZ,Italy_LDZ,Italy_Other,Netherlands_LDZ,GB_LDZ,Austria_LDZ,Germany_LDZ,Switzerland_LDZ,Luxembourg_LDZ,Ireland_LDZ,Total_LDZ_Demand
2017-02-20,113.272155,33.535056,162.988768,0.821072,71.080199,161.89,40.211777,145.590758,12.928832,2.898906,5.29,750.507523
2017-02-21,104.72731,31.010332,158.701472,1.126126,60.619846,168.14,37.190871,131.068228,11.957751,2.728815,5.23,712.500751
2017-02-22,105.729636,32.68833,153.942141,0.690799,70.531472,173.99,29.708151,117.691605,10.686353,2.81327,6.69,705.161757
2017-02-23,110.47214,34.842237,149.077191,-0.658872,79.86019,205.27,26.680881,114.4107,10.200526,2.890724,8.04,741.085717
2017-02-24,123.942581,36.885144,141.613044,0.982308,78.752555,200.98,29.937242,143.356488,12.815723,3.170724,8.85,781.285808
2017-02-25,115.314308,34.192601,126.594305,0.466118,79.577008,188.9,26.1527,155.34393,13.05135,2.782997,5.95,748.325318
2017-02-26,103.846902,30.416696,122.596873,0.454481,67.314476,176.82,25.296337,147.507756,11.969533,2.549634,5.29,694.062688
2017-02-27,116.71227,34.357055,139.010338,0.443054,74.51965,210.27,28.248153,130.36032,11.715061,2.777633,12.21,760.623534
2017-02-28,131.6726,38.825505,139.311747,-0.031545,86.007002,226.21,33.059966,134.383406,13.321168,3.290451,9.94,815.990299
2017-03-01,121.425002,37.199871,127.086268,0.501609,75.762012,214.77,31.675422,138.114675,13.672504,3.232178,10.38,773.819541
2017-03-02,115.68938,37.594325,123.0733,1.810353,83.747731,209.67,31.653604,144.560941,13.045677,2.961997,11.99,775.797308
2017-03-03,103.365611,33.91751,124.094171,1.248435,76.60583,207.91,28.827243,144.173033,12.587269,2.948724,9.49,745.167826
2017-03-04,105.4107,28.644243,116.533997,2.545706,60.90621,178.19,23.564521,121.269329,10.796052,2.573816,8.37,658.804575
2017-03-05,114.956772,32.959875,109.077614,0.727854,65.359296,194.06,22.17725,121.007511,12.038897,2.670815,8.07,683.105884
2017-03-06,125.651052,37.42887,127.457223,1.444326,71.877107,197.84,27.742699,135.502951,13.846995,3.127542,11.51,753.428764
2017-03-07,126.640814,35.176782,127.849413,2.575261,73.973742,190.5,28.956334,153.081387,14.173994,3.112997,12.05,768.090723
2017-03-08,112.408629,36.103326,123.497008,1.423999,81.344825,174.32,30.444514,152.018115,13.277932,3.167633,9.88,737.885981
2017-03-09,97.463499,30.446514,112.792247,0.857935,68.612656,156.18,27.628153,135.439132,11.823924,2.585906,11.37,655.199968
2017-03-10,94.09823,29.739242,100.852468,1.776044,62.455754,165.92,29.700878,141.115945,11.079079,2.794997,9.02,648.552637
2017-03-11,80.650762,25.905155,95.829201,2.21727,57.306941,141.68,25.246337,135.859314,10.548398,2.601725,12.23,590.075103
2017-03-12,82.469487,23.31943,96.2174,-0.3858,51.051674,146.35,26.035428,136.82604,10.048862,2.248725,8.67,582.851248
2017-03-13,93.792648,28.181789,116.586343,2.262034,59.304575,156.18,29.546333,142.080853,11.02447,2.627815,7.42,649.006861
2017-03-14,93.821039,27.862698,109.760168,1.506117,55.408124,153.1,29.912696,128.24314,10.201171,2.577179,7.27,619.662333
2017-03-15,88.740181,23.354885,104.526755,1.932471,50.200039,140.69,33.132693,118.074332,10.221608,2.350543,6.6,579.823507
2017-03-16,79.467163,21.609796,99.283634,2.000134,44.882772,160.51,28.319062,113.08861,10.727916,2.42227,6.9,569.211357
2017-03-17,83.79855,24.926156,92.05485,2.251316,57.395213,181.91,26.441791,110.93134,8.347519,2.542543,5.31,595.909277
2017-03-18,80.958071,24.525429,79.209154,2.58237,55.980669,147.16,22.988158,110.090613,8.782809,2.561634,3.39,538.228908
2017-03-19,76.065603,23.895793,72.053444,0.417136,49.836494,139.73,21.790887,104.035983,7.181783,2.173634,3.39,500.570757
2017-03-20,87.317219,27.883062,83.420495,1.173344,61.732118,165.79,24.780883,98.879352,8.832082,2.638543,5.88,568.327098
2017-03-21,98.218835,28.823879,83.188341,1.30809,60.855028,186.36,25.028156,107.16098,8.9896,2.649543,12.25,614.832451
2017-03-22,104.468592,29.147152,86.656038,1.245181,59.264484,204.76,26.101791,119.501149,10.905761,2.967179,9.16,654.177326
