Date,Total_Gas_to_Power_Demand
2019-12-10,222.08
2019-12-11,244.24
2019-12-12,262.22
2019-12-13,213.27
2019-12-14,125.25
2019-12-15,124.37
2019-12-16,248.41
2019-12-17,245.18
2019-12-18,220.01
2019-12-19,169.88
2019-12-20,151.89
2019-12-21,126.4
2019-12-22,120.72
2019-12-23,120.21
2019-12-24,118.72
2019-12-25,122.52
2019-12-26,125.89
2019-12-27,169.83
2019-12-28,135.86
2019-12-29,116.17
2019-12-30,158.38
2019-12-31,175.91
2020-01-01,116.37
2020-01-02,180.99
2020-01-03,177.97
2020-01-04,166.42
2020-01-05,161.27
2020-01-06,195.9
2020-01-07,229.81
2020-01-08,264.86
2020-01-09,248.48
2020-01-10,245.29
2020-01-11,173.29
2020-01-12,151.92
2020-01-13,240.54
2020-01-14,212.13
2020-01-15,217.33
2020-01-16,233.42
2020-01-17,242.11
2020-01-18,206.02
2020-01-19,213.46
2020-01-20,306.37
2020-01-21,328.1
2020-01-22,331.01
2020-01-23,330.79
2020-01-24,316.73
2020-01-25,246.3
2020-01-26,209.97
2020-01-27,252.16
2020-01-28,221.33
2020-01-29,215.99
2020-01-30,213.46
2020-01-31,193.58
2020-02-01,138.59
2020-02-02,125.11
2020-02-03,188.76
2020-02-04,201.18
2020-02-05,262.89
2020-02-06,273.83
2020-02-07,247.56
2020-02-08,175.13
2020-02-09,120.69
2020-02-10,157.11
2020-02-11,161.73
2020-02-12,214.87
2020-02-13,258.08
2020-02-14,233.38
2020-02-15,114.35
2020-02-16,103.98
2020-02-17,172.23
2020-02-18,179.46
2020-02-19,209.83
2020-02-20,193.0
2020-02-21,177.77
2020-02-22,118.42
2020-02-23,123.6
2020-02-24,193.75
2020-02-25,192.71
2020-02-26,235.51
2020-02-27,258.47
2020-02-28,221.26
2020-02-29,112.72
2020-03-01,107.96
2020-03-02,237.53
2020-03-03,264.69
2020-03-04,287.7
2020-03-05,262.08
2020-03-06,242.7
2020-03-07,160.68
2020-03-08,114.68
2020-03-09,227.42
2020-03-10,178.82
2020-03-11,178.99
2020-03-12,145.83
2020-03-13,203.28
2020-03-14,151.14
2020-03-15,123.96
2020-03-16,205.27
2020-03-17,196.62
2020-03-18,193.1
2020-03-19,223.25
