Date,Total_Gas_to_Power_Demand
2019-05-08,161.25
2019-05-09,193.59
2019-05-10,187.03
2019-05-11,119.43
2019-05-12,113.47
2019-05-13,169.03
2019-05-14,168.31
2019-05-15,170.79
2019-05-16,160.06
2019-05-17,167.47
2019-05-18,132.98
2019-05-19,120.21
2019-05-20,175.76
2019-05-21,163.43
2019-05-22,157.57
2019-05-23,147.2
2019-05-24,147.4
2019-05-25,109.74
2019-05-26,74.31
2019-05-27,130.91
2019-05-28,158.32
2019-05-29,149.94
2019-05-30,106.51
2019-05-31,80.85
2019-06-01,96.69
2019-06-02,77.46
2019-06-03,149.3
2019-06-04,174.82
2019-06-05,166.42
2019-06-06,158.08
2019-06-07,140.64
2019-06-08,91.86
2019-06-09,120.62
2019-06-10,159.26
2019-06-11,180.9
2019-06-12,186.79
2019-06-13,181.44
2019-06-14,179.07
2019-06-15,125.08
2019-06-16,108.98
2019-06-17,179.26
2019-06-18,209.63
2019-06-19,215.91
2019-06-20,195.46
2019-06-21,205.38
2019-06-22,134.44
2019-06-23,111.22
2019-06-24,193.36
2019-06-25,207.04
2019-06-26,203.44
2019-06-27,197.89
2019-06-28,197.99
2019-06-29,139.63
2019-06-30,105.1
2019-07-01,181.26
2019-07-02,206.42
2019-07-03,209.69
2019-07-04,198.14
2019-07-05,202.6
2019-07-06,139.83
2019-07-07,131.72
2019-07-08,215.37
2019-07-09,226.37
2019-07-10,216.98
2019-07-11,223.56
2019-07-12,205.5
2019-07-13,135.83
2019-07-14,123.5
2019-07-15,206.1
2019-07-16,205.81
2019-07-17,211.41
2019-07-18,218.08
2019-07-19,210.17
2019-07-20,134.68
2019-07-21,123.27
2019-07-22,196.46
2019-07-23,226.37
2019-07-24,244.57
2019-07-25,243.12
2019-07-26,232.82
2019-07-27,165.87
2019-07-28,131.71
2019-07-29,207.68
2019-07-30,198.04
2019-07-31,204.06
2019-08-01,223.57
2019-08-02,210.33
2019-08-03,159.43
2019-08-04,136.97
2019-08-05,182.82
2019-08-06,185.0
2019-08-07,178.93
2019-08-08,185.89
2019-08-09,159.69
2019-08-10,104.91
2019-08-11,108.27
2019-08-12,180.4
2019-08-13,173.78
2019-08-14,147.11
2019-08-15,106.05
2019-08-16,120.21
2019-08-17,98.21
2019-08-18,95.09
2019-08-19,153.0
2019-08-20,191.56
2019-08-21,175.41
2019-08-22,158.55
2019-08-23,165.33
2019-08-24,141.32
2019-08-25,147.71
2019-08-26,211.73
2019-08-27,231.8
2019-08-28,227.65
2019-08-29,202.04
2019-08-30,190.21
2019-08-31,141.72
2019-09-01,140.24
2019-09-02,187.05
2019-09-03,188.59
2019-09-04,177.58
2019-09-05,182.65
2019-09-06,177.16
2019-09-07,154.45
2019-09-08,146.08
