Date,Total_Industrial_Demand
2019-06-13,246.42903
2019-06-14,233.743869
2019-06-15,210.226489
2019-06-16,212.285471
2019-06-17,236.964193
2019-06-18,231.84395
2019-06-19,233.075177
2019-06-20,228.892062
2019-06-21,230.510761
2019-06-22,211.779775
2019-06-23,203.903032
2019-06-24,235.985206
2019-06-25,240.063421
2019-06-26,234.790252
2019-06-27,236.792491
2019-06-28,232.417945
2019-06-29,202.914723
2019-06-30,200.734284
2019-07-01,235.686636
2019-07-02,243.96466
2019-07-03,243.185572
2019-07-04,240.309776
2019-07-05,230.200333
2019-07-06,209.442832
2019-07-07,210.557036
2019-07-08,245.453195
2019-07-09,248.034946
2019-07-10,247.146525
2019-07-11,244.128665
2019-07-12,234.508566
2019-07-13,218.321108
2019-07-14,217.144488
2019-07-15,243.489338
2019-07-16,246.048555
2019-07-17,249.50723
2019-07-18,245.612467
2019-07-19,234.046924
2019-07-20,208.137714
2019-07-21,211.168082
2019-07-22,233.674522
2019-07-23,230.883025
2019-07-24,228.974096
2019-07-25,222.735469
2019-07-26,220.88851
2019-07-27,205.191485
2019-07-28,209.33703
2019-07-29,230.882836
2019-07-30,228.886519
2019-07-31,229.424107
2019-08-01,230.417186
2019-08-02,218.262057
2019-08-03,200.335729
2019-08-04,195.874731
2019-08-05,214.720987
2019-08-06,212.367949
2019-08-07,214.456899
2019-08-08,215.893409
2019-08-09,194.343181
2019-08-10,183.108256
2019-08-11,188.352208
2019-08-12,222.09248
2019-08-13,220.936792
2019-08-14,219.424323
2019-08-15,207.33082
2019-08-16,200.816367
2019-08-17,183.391791
2019-08-18,186.034501
2019-08-19,221.266358
2019-08-20,225.94686
2019-08-21,229.440741
2019-08-22,227.097386
2019-08-23,219.559306
2019-08-24,197.582136
2019-08-25,198.768898
2019-08-26,231.30575
2019-08-27,230.004619
2019-08-28,234.007413
2019-08-29,236.016034
2019-08-30,228.111817
2019-08-31,203.580432
2019-09-01,206.99217
2019-09-02,243.76606
2019-09-03,247.506731
2019-09-04,241.701737
2019-09-05,249.587713
2019-09-06,244.865107
2019-09-07,227.42099
2019-09-08,226.805044
2019-09-09,259.41385
2019-09-10,260.726102
2019-09-11,255.311762
2019-09-12,247.878067
2019-09-13,242.70628
2019-09-14,209.568623
2019-09-15,213.818439
2019-09-16,251.649262
2019-09-17,250.029056
2019-09-18,264.540971
2019-09-19,265.984386
