,Demand,,,,,,,,,,Demand (Net),,,,
,,,,,,,,,,,,,,,
,France,Belgium,Italy,Netherlands,GB,Austria,Germany,Switzerland,Luxembourg,Island of Ireland,Island of Ireland,Total,Industrial,LDZ,Gas-to-Power
,,,,,,,,,,,,,,,
42738,254.4895909,74.86018182,310.1981182,145.489,326.98,42.89909091,392.222,18.08875455,3.656545455,0,13.5,1582.383282,299.6907273,1045.681582,233.0377
42739,248.9494455,72.12190909,312.3612364,143.7418182,330.96,39.85727273,392.0590909,17.56110909,3.681363636,0,13.91,1575.203245,310.3886333,1019.9132,240.2929576
42740,251.0027091,76.495,316.4790636,172.9389091,359.85,41.86909091,442.4778182,18.36504545,6.234,0,10.73,1696.441636,327.0982727,1103.661882,260.0412091
42741,266.6660455,81.66509091,315.3667727,181.4675455,340.77,42.40909091,469.0887273,20.12447273,6.378727273,0,14.71,1738.646473,320.4163606,1169.412827,243.5167394
42742,240.8920182,78.32081818,333.7567545,163.7294545,279.36,47.57,444.8018182,19.02784545,4.059,0,9.29,1620.807709,301.8439455,1093.558173,220.2731364
42743,209.3345545,68.50654545,344.4303,139.3897273,257.3,44.53272727,425.7070909,16.36718182,3.55,0,5.19,1514.308127,291.1488697,1007.707255,210.2272758
42744,222.5805727,71.70045455,391.9387727,147.2289091,276.89,49.82454545,450.503,18.78353636,3.682727273,0,7.78,1640.912518,323.9387152,1067.216691,244.6121121
42745,217.1047091,71.80181818,405.5044455,142.3824545,285.95,51.94272727,435.2753636,18.94294545,3.633545455,0,7,1639.538009,322.1728788,1054.2442,258.5487485
42746,206.3921091,68.99636364,403.8773364,132.6680909,279.75,50.29727273,401.3254545,17.01051818,3.583909091,0,7.31,1571.211055,311.8847,1026.477882,228.3885636
42747,207.0061091,69.55672727,387.4874818,144.9887273,325.07,45.98818182,386.4788182,15.7653,3.395,0,10.68,1596.416345,311.3143182,1050.173718,230.0669455
42748,224.7356182,72.36527273,358.3938818,150.7341818,343.72,44.07727273,391.792,17.61966364,3.635545455,0,11.66,1618.733436,313.4877242,1092.134255,208.7139121
42749,213.7908091,66.52527273,324.1045909,145.7501818,320.64,38.4,372.4081818,17.09766364,3.721272727,0,8.79,1511.227973,289.0245848,1029.804709,188.9377697
42750,213.7592545,68.70972727,317.6894182,152.8430909,292.06,40.62363636,399.2777273,18.51763636,3.291363636,0,7.7,1514.471855,299.0148576,1017.851445,192.8294606
42751,248.1013364,80.62072727,379.5203182,179.7728182,317.87,49.13,469.7399091,20.24552727,3.984727273,0,11.47,1760.455364,343.2760242,1126.868873,284.9701939
42752,277.2055818,85.95909091,384.3157727,192.0529091,329.24,48.98090909,483.105,20.43326364,4.250909091,0,12.37,1837.913436,349.5723212,1189.356818,293.7498424
42753,285.8350636,89.835,373.4107091,194.9471818,333.62,50.26545455,489.856,20.68350909,4.419363636,0,13.13,1856.002282,348.6496455,1210.308782,291.5759455
42754,285.9659182,86.719,368.9273455,183.1054545,334.75,51.57272727,489.4597273,20.27229091,5.679363636,0,11.95,1838.401827,347.1245121,1197.685764,288.4480061
42755,278.3301909,82.29190909,359.6905273,176.7027273,333.47,51.33909091,469.1967273,19.6928,4.131181818,0,10.83,1785.675155,334.3101818,1172.7623,273.5932182
42756,254.3477545,73.76381818,331.1463273,162.9821818,336.92,50.29,436.0063636,19.86348182,4.087545455,0,10.98,1680.387473,300.4660818,1127.999691,246.8790636
42757,243.6273727,77.22827273,306.5455455,161.3818182,342.95,47.70454545,444.9736364,19.74417273,3.955363636,0,11.01,1659.120727,306.4731727,1120.7732,226.6671727
42758,266.4407909,82.521,358.6166636,176.9699091,353.24,53.52909091,486.0805455,20.81319091,4.371636364,0,9.46,1812.042827,350.7583182,1172.0054,283.9975636
42759,270.5688182,82.592,345.6419,172.9693636,331.85,54.92181818,485.8565455,21.07465455,4.050909091,0,9.46,1778.986009,347.6443212,1140.665436,285.2727061
42760,282.2382091,87.29818182,348.8582,188.7003636,326.17,52.13363636,486.3010909,21.28922727,4.189454545,0,5.16,1802.338364,350.4366,1172.728182,273.7799455
42761,272.2299545,87.57481818,365.2220818,187.1778182,368.22,48.98363636,467.1872727,21.34027273,4.123363636,0,6.91,1828.969218,339.5295152,1212.724436,271.4154485
42762,227.9739727,78.99363636,358.8435364,168.2807273,350.76,47.66727273,451.693,20.11065455,4.118727273,0,11.75,1720.191527,325.6747091,1132.414718,257.1672818
42763,209.9193545,62.91309091,314.9462727,130.4837273,301.51,46.37909091,405.3999091,17.59349091,3.639454545,0,10.56,1503.344391,285.8823182,997.8393273,214.9614727
42764,187.3211273,62.36472727,293.0838364,132.2527273,306.04,46.18454545,385.1825455,16.79207273,3.203545455,0,9.9,1442.325127,288.2142879,953.8013727,195.6433758
42765,214.4193636,69.37272727,351.5188273,149.9713636,307,52.77454545,400.1359091,17.1352,3.322090909,0,8.79,1574.440027,315.0545424,995.0093636,259.2234848
42766,180.0906,74.529,346.3594091,157.7286364,305.27,50.06545455,404.4382727,14.89259091,3.286181818,0,9.66,1546.320145,319.1593879,953.1859455,268.5987212
42767,171.4119,66.82690909,328.2325818,150.7585455,260.3,48.69363636,397.9218182,13.6115,3.387545455,0,7.07,1448.214436,310.0654303,903.1432909,230.2533515
42768,163.1211,55.22072727,314.0206182,126.1567273,238.67,45.74,365.5693636,14.25730909,3.009181818,0,5.25,1331.015027,296.6708242,831.8609273,197.3158212
42769,169.3737818,55.539,287.3345818,121.6498182,251.19,42.66,346.8373636,13.53164545,2.998818182,0,10.79,1301.905009,289.2289061,822.0656091,186.3084939
42770,160.5792182,55.05481818,243.2696727,119.6618182,258.05,35.90636364,318.1368182,13.61262727,3.019,0,9.28,1216.570336,263.9555636,805.7073182,143.9467273
42771,168.7653818,55.70909091,236.9839455,121.0290909,282.11,31.62636364,325.5532727,15.07472727,3.024363636,0,9.28,1249.156236,268.7757061,831.4400091,145.9055212
42772,199.7484727,64.30681818,300.2795182,141.6354545,310.54,38.73,382.1046364,15.5907,3.012181818,0,9.07,1465.017782,309.0501576,933.8317091,217.5172788
42773,195.3065091,66.83690909,293.1048727,157.5972727,297.42,41.56181818,402.5338182,15.86046364,3.316363636,0,12.63,1486.168027,311.9333424,934.0195,235.598003
42774,207.2879,71.34481818,306.0693455,173.3272727,323.12,41.68181818,428.3648182,15.7881,3.240454545,0,10.78,1581.004527,325.5591333,1006.474582,244.1258121
42775,221.3710455,77.40045455,312.9474,183.2279091,353.13,42.75909091,448.3141818,17.09483636,3.689090909,0,10.59,1670.524009,326.7015909,1085.288173,253.9578818
42776,225.9126091,81.42490909,314.6319364,186.7237273,358.21,43.35545455,438.7781818,16.4253,3.584636364,0,15.12,1684.166755,321.2856545,1105.5471,252.2323636
42777,201.2756091,72.862,261.5550364,162.3501818,327.66,36.21545455,391.4893636,14.34885455,3.432,0,9.73,1480.9185,278.4680909,1028.797873,169.4135364
42778,190.6188455,64.45427273,233.0509182,149.2895455,311.36,37.62181818,390.8136364,14.16617273,3.020727273,0,7.67,1402.065936,284.5669606,969.3432364,145.0976485
42779,196.7501909,68.39063636,301.6199818,153.9090909,300.79,43.59454545,415.8043636,16.68807273,3.493545455,0,6.72,1507.760427,314.8518303,980.1244545,207.7611424
42780,185.3079182,65.22181818,295.3048091,146.2677273,310.79,39.68272727,410.4863636,15.75849091,3.432454545,0,9.93,1482.182309,313.909897,925.2267364,238.0168576
42781,170.7792545,60.69172727,291.3055455,131.5701818,280.37,38.21090909,387.7010909,15.3395,3.171181818,0,7.51,1386.649391,301.8533273,837.9599455,241.6006636
